서비스_업종_코드_명,상권_코드,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수,총_직장_인구_수,총_상주인구_수,연도,분기,분기_sin,분기_cos
중식음식점,3130084,275760.9,123061.57,148922.81,28031.68,35244.207,38993.562,38739.004,50592.105,81079.15,78461.77,54087.574,28520.297,28573.75,42770.29,37727.277,38109.05,38773.02,39325.887,37893.938,38981.04,38883.836,40112.57,315.0,204.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3110139,1921100.1,968862.2,978278.4,244261.39,283496.7,339951.0,300892.12,329596.6,485341.38,554340.56,414011.1,209380.28,213583.97,316767.44,273661.16,280095.53,282403.97,281718.12,277210.47,280643.78,289484.2,286947.25,104.0,4940.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3110140,2233563.2,1026849.75,1214956.1,189945.14,545624.25,370158.6,321128.28,315130.9,461100.3,616128.0,449784.06,239969.3,244053.33,382536.88,301657.16,307664.2,315474.47,311780.2,308461.56,314341.72,340279.94,344074.47,194.0,5105.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3110141,1841923.8,865929.25,973457.7,149732.08,794213.44,318319.06,209763.56,154999.53,201587.84,498304.12,348647.88,188497.94,200908.3,337670.88,267466.44,247551.11,252104.8,257528.33,257477.94,268582.44,285214.8,268718.06,74.0,2945.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3110142,1867511.4,906522.6,1021859.75,149214.75,842276.6,332695.56,205899.6,168158.42,221274.52,595918.06,420901.4,196534.16,178805.69,265067.38,249824.98,267932.56,265660.84,266552.97,270050.44,262582.6,280983.6,281077.12,89.0,6384.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3110143,187839.44,89584.66,96944.89,36140.4,23743.16,27728.738,31648.648,28270.998,39449.08,47618.094,36880.973,21482.82,22452.846,33812.664,25448.047,26153.629,25489.523,26355.719,26067.695,26360.342,27665.912,28663.727,60.0,100.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3110144,388481.5,173767.1,213014.22,25132.072,200819.11,67211.39,36141.254,28262.977,30548.914,117774.24,83630.61,39807.477,35878.04,58030.11,51926.664,53893.08,54355.688,55434.227,53751.914,54432.266,56924.22,57209.312,29.0,1994.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3110145,266418.0,123884.99,142532.98,41900.383,111356.99,46830.3,26661.0,23312.828,31657.074,80470.01,59009.996,34797.996,31490.998,34626.04,32621.48,40470.996,41867.996,40588.996,40836.996,37681.996,33729.453,35027.16,9.0,546.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3110146,1385390.6,647865.06,737176.25,283624.3,157248.05,223394.31,231914.34,200888.08,291408.4,417028.66,271006.2,141923.45,142632.64,219586.16,193046.84,194180.1,191934.72,196093.95,193124.44,194792.38,205027.14,204797.8,594.0,3483.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3110147,930398.2,456361.34,476256.97,97333.37,269870.62,167015.11,127329.086,110392.68,162539.02,274417.78,197341.64,98153.44,95093.94,141255.34,126510.53,130452.27,131560.78,133307.89,131643.5,129887.7,134282.6,138448.25,225.0,6012.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3110148,753670.2,363592.03,390076.97,76914.64,323171.97,126734.61,77845.99,65489.01,80136.02,183192.17,157362.98,96947.0,90554.99,121202.99,98506.84,108182.99,110921.02,110833.016,110733.99,107061.016,102688.46,103317.016,22.0,1588.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3110149,188840.0,94690.52,95480.46,20271.115,58265.7,34325.03,27922.033,21316.705,25600.014,50364.09,40304.86,23866.166,23069.916,25202.04,23101.32,27649.0,27654.447,27923.002,27525.004,26988.092,25074.0,25410.002,214.0,1065.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3110150,1756572.0,851104.6,901933.56,171185.73,343239.78,379686.06,272002.03,237308.08,345419.0,549384.75,368860.0,169116.9,167976.88,257956.25,242340.64,246408.75,246865.19,251128.23,248264.1,246796.45,257250.83,259932.33,1119.0,5501.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3110151,1342573.9,646909.75,701637.3,211401.56,169391.92,232911.56,255600.9,198551.45,281564.0,415054.34,277348.94,133210.02,131389.25,204504.55,184082.95,188202.5,187899.69,186673.05,187162.05,188134.08,201242.27,208476.75,720.0,4293.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3110152,218285.75,107502.2,109951.09,31247.95,27295.264,39491.01,35643.652,36970.57,50198.594,77679.01,45891.473,19141.006,18158.023,26920.889,29972.75,30667.23,30725.691,31485.201,30832.012,31087.863,31843.01,32203.89,256.0,1998.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3110153,286242.62,137232.77,150933.4,27448.344,64540.035,62994.844,44749.08,39724.434,52083.9,69615.56,56084.406,33432.688,34992.312,55898.84,40470.812,41189.35,41553.703,41019.55,40992.26,42370.1,42114.31,41173.574,208.0,2291.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3110154,1725286.0,804367.9,896731.06,231248.02,243453.08,278506.9,283924.06,267943.94,406587.8,504085.94,348770.28,179738.53,182146.81,271195.5,236785.72,239105.0,241762.86,240202.08,239251.61,238452.2,255773.03,265355.44,1449.0,4109.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3110155,1030097.06,488771.72,545063.06,151797.62,322322.6,177128.03,141982.27,115574.91,116327.7,255420.86,227494.17,140480.8,134155.4,153526.08,121483.26,154535.73,156236.6,152528.22,151818.47,147923.55,130784.03,132167.1,1480.0,4025.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3110156,932922.06,435622.5,498739.12,116544.12,206561.6,210234.36,134933.67,115070.09,146905.12,312586.0,198214.97,88267.305,83331.52,125026.07,128970.586,130425.695,131129.64,132236.02,131957.97,130730.48,133987.36,137826.03,332.0,5971.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3110157,1397378.6,642923.0,747818.9,257583.06,150736.03,235291.75,252452.86,191676.61,278879.0,435715.66,283985.12,134430.72,135779.28,211492.5,194820.69,195012.78,194912.89,198126.69,196271.77,189662.98,203713.94,212557.67,613.0,5379.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3110158,3056912.8,1408146.9,1648765.9,354946.44,406854.1,513517.28,425724.78,509507.06,808790.94,972130.94,613996.94,289136.8,285520.06,453153.25,433961.97,424162.6,419215.94,421574.1,423661.97,419335.06,451421.97,453836.66,268.0,6201.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3110159,3554614.2,1701881.2,1847846.8,420944.22,645171.56,616091.0,544225.9,547534.6,772462.0,926840.94,728513.5,409813.78,413461.47,606776.8,473274.84,504965.97,504662.6,505394.88,505698.94,502572.94,513463.06,514938.9,2715.0,8475.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3110160,472086.44,228865.42,234550.98,78251.24,83868.23,69662.41,78424.984,68216.93,78131.49,141952.8,105017.73,51413.465,48005.195,45139.805,60835.215,67882.75,60393.953,60139.03,67795.664,67220.34,60783.547,64748.89,330.0,1720.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3110161,583528.2,276024.78,310593.06,64831.027,80203.38,109198.06,85654.65,101002.23,146652.05,163010.67,115232.02,65067.023,68650.07,103414.27,78783.02,82450.03,80494.03,83931.336,84032.66,83692.914,86946.26,89652.03,194.0,4609.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3110162,369899.97,163563.28,200525.39,60088.0,54759.01,67282.69,60414.39,50928.785,69969.02,114909.336,73605.57,32098.006,32307.002,51681.223,54119.887,50716.453,50869.316,50437.773,50003.117,51669.44,52954.547,55573.35,181.0,3566.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3110163,540425.75,248304.11,294569.84,113921.22,60211.01,88484.8,84787.805,82389.09,125602.19,145537.14,119998.76,62832.133,62324.73,86211.695,72139.02,77093.01,77340.85,76585.375,78816.83,75619.445,79424.77,75771.914,740.0,2799.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3110164,485315.9,208495.0,277074.97,100465.14,74014.89,88026.2,72645.01,58375.06,94258.14,106603.85,104639.57,63471.926,63588.082,81876.195,60084.992,68849.95,68043.36,67993.87,69664.85,70935.664,66795.94,67813.78,190.0,3223.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3110165,703884.56,332012.16,371791.12,108536.805,98941.04,121723.02,106980.78,115521.1,152013.02,231987.03,148823.05,66486.734,61414.63,94197.51,100791.04,102029.54,101328.195,101396.51,100781.03,101242.15,96858.164,100434.38,310.0,3952.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3110166,1756118.5,819561.3,931098.75,178346.95,346656.34,357292.0,261468.38,249826.89,324215.03,501414.53,368211.22,198788.69,188795.12,261867.25,229747.05,256342.67,254343.47,249782.5,250048.92,253978.06,243697.08,245396.02,439.0,5804.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3110167,1576949.9,724158.9,854515.0,273013.97,220745.89,250060.75,246319.11,228816.97,352477.5,511922.66,331659.78,154361.75,144077.72,218827.95,217496.97,222862.14,221398.84,221638.22,222169.34,219763.42,227180.23,235554.9,499.0,6587.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3110168,438206.53,199741.11,238051.11,122884.1,52020.156,66055.55,59630.863,63018.16,88430.41,87883.69,101601.81,63985.01,59950.797,79162.664,53425.25,66756.92,66028.79,63127.26,64229.004,63587.0,57358.99,55548.383,418.0,2486.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3110169,595843.4,296109.8,298670.38,79909.97,96451.164,108536.43,91299.875,97694.23,117640.53,143326.58,137074.83,75609.484,72934.62,94384.47,73727.016,86534.0,86965.45,86785.68,86538.88,87048.58,82685.68,79576.39,603.0,2412.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3110170,2080320.1,927364.0,1156621.9,291317.44,374304.06,416281.2,324387.2,312316.12,414574.53,719297.6,472522.75,209127.8,194034.8,286696.03,284807.0,297752.75,295095.66,294083.3,297628.84,290436.03,318060.72,314343.34,389.0,6050.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3110171,339316.56,156308.03,181852.16,35698.1,39607.34,50746.758,49144.31,63286.855,98074.26,123320.23,69945.57,27621.611,25504.78,41280.234,48348.805,48475.11,47477.164,47562.875,47907.74,47688.17,48760.594,50700.086,222.0,2156.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3110172,922679.1,414364.25,457699.3,175168.1,112845.24,145281.9,162410.83,141668.78,183515.23,238355.38,172460.14,98136.87,103472.555,152794.12,128352.95,116095.53,120996.46,124370.85,120506.66,131508.89,131676.47,130864.05,973.0,3784.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3110173,323633.84,171700.53,167143.12,43418.33,43057.03,59538.895,47860.45,63181.008,73290.07,86276.68,82071.89,42182.344,35735.51,47081.8,40223.625,45044.797,48282.02,48048.426,48481.547,49059.156,48344.36,48558.56,542.0,1266.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3110174,694905.44,306336.1,390897.2,96255.02,81250.02,102629.34,111231.9,107899.52,196217.05,211232.53,140808.02,68353.055,70251.02,108661.06,96709.02,96972.99,97567.87,98073.766,96558.02,96029.45,104336.24,108761.02,683.0,4553.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3110175,989962.4,457035.78,529361.9,151807.17,156205.9,170659.92,175924.44,156107.66,171285.36,259940.47,198225.48,113648.57,120005.69,170722.89,124589.01,140079.39,139075.08,140596.88,140564.53,139892.17,142139.14,144485.55,874.0,4797.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3110176,1352211.8,619480.3,732638.25,134763.27,170170.61,194882.58,197006.58,243274.23,411910.78,409712.53,265635.3,134288.08,136305.1,209722.53,186528.6,183669.11,187700.64,187042.31,184897.55,185132.16,201549.05,211265.95,782.0,5677.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3110177,113527.03,44862.34,64188.72,15484.01,13484.792,16506.168,19180.586,18558.338,31225.559,35536.0,23643.998,11145.393,9616.595,17005.049,15326.922,13925.175,15294.0,15880.019,15882.213,15763.391,14938.834,18644.055,72.0,1457.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3110178,357773.97,158580.0,199193.02,59610.926,49285.793,48987.574,63149.543,56822.434,81414.266,93827.99,76374.99,46439.996,41447.11,53490.28,41778.855,51149.996,51357.996,50293.996,50754.0,48956.008,50741.387,53921.996,293.0,1055.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3110179,404819.56,177785.77,223249.02,70919.88,50229.01,53405.99,68084.42,63497.953,91572.55,113083.22,85542.98,50493.0,45262.168,54041.03,47432.492,58376.004,58804.01,58290.29,58899.758,56168.3,53905.3,54658.004,1004.0,998.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3110180,265463.78,123193.305,141561.64,28394.973,34701.777,41023.53,46619.223,47155.742,63322.35,61577.15,52548.28,35627.86,37476.09,47876.434,29559.379,37806.42,37730.992,38663.8,38492.04,38356.055,38435.625,35142.81,7034.0,1207.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3120053,2829671.0,1302029.5,1506905.9,272276.1,1194413.2,484134.28,326750.2,269178.9,308201.56,519006.28,452117.78,357959.7,409489.1,673596.8,406500.62,375652.75,389246.25,401323.78,387041.97,422762.53,465902.0,411001.3,1689.0,4002.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3120054,1939152.9,900227.06,1038927.0,255105.98,787506.94,317674.97,217454.0,176042.6,205258.22,472153.1,400757.97,250071.98,242037.98,326791.97,247342.98,281598.0,284964.97,284975.0,283266.97,277411.97,263504.97,263434.06,362.0,4920.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3120055,2552978.0,1197578.8,1362249.1,232721.77,591893.94,550202.4,372185.03,329044.2,442395.12,575169.56,490560.12,311577.62,325066.2,495777.56,338339.03,362558.34,366662.75,370929.8,367248.53,371058.44,366699.34,356517.03,3475.0,6506.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3120056,1370386.6,686086.7,680296.2,111313.89,310256.94,281542.56,214134.11,215157.6,236228.58,287383.47,270607.28,174189.39,178426.34,272635.6,184639.97,196809.38,197404.61,197383.77,197921.16,201893.14,194991.8,182335.08,7498.0,4317.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3120057,1250362.5,559258.4,691139.25,204056.9,174610.62,208294.23,200909.58,183973.05,277783.28,275915.22,259090.77,157246.73,164078.77,234379.6,159931.05,173203.05,174545.62,175421.12,174273.84,175133.86,186556.88,191421.64,2527.0,3333.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3120058,735315.0,336047.97,391702.3,146280.52,95612.01,123295.97,120567.99,107208.42,134490.5,203858.88,147963.19,78808.17,81514.44,121168.56,95617.29,103628.06,104437.805,104299.35,103983.08,103635.55,106156.17,107980.18,1201.0,1746.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3120059,957597.1,443060.56,517450.9,177250.05,137231.92,152962.8,159447.06,152403.1,174400.02,208604.05,188314.28,121518.02,134247.05,187406.89,115589.32,137225.06,137632.47,137349.22,137918.92,139442.1,136954.64,128767.01,3984.0,4133.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3120060,298390.4,145090.53,151987.23,41360.043,39752.953,48716.793,56036.13,49098.45,60751.477,60637.746,61466.15,43922.594,45827.71,53335.926,32154.447,41811.098,40658.062,41778.79,41923.504,43179.652,45617.863,42344.523,4425.0,5.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3120061,333582.2,149963.27,178054.02,108852.69,34605.05,34179.984,60030.36,47136.57,48401.004,71211.98,58207.043,36637.008,47779.844,74586.14,40825.887,47135.535,44462.004,45838.004,45388.004,46220.004,50580.0,47830.55,1505.0,238.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3130074,369148.6,171177.28,198523.94,31876.217,81129.18,61609.312,52502.68,45091.03,77970.016,113618.72,76910.59,35750.56,35561.402,55755.98,51640.336,51209.426,51367.703,51895.008,50900.965,51787.906,54831.094,56667.62,5.0,423.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3130075,160388.47,78492.625,80982.0,15616.485,26116.748,25187.176,23416.557,28181.783,36366.066,37871.855,29574.104,18454.293,19740.611,29620.58,20460.637,22042.543,21931.908,22061.414,22175.764,22333.912,23702.506,23683.824,11.0,94.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3130076,243104.27,119784.43,121948.89,30978.627,35710.543,37699.797,37962.39,40378.414,60642.34,54336.293,48569.293,29344.441,32178.148,48999.45,30022.238,34000.74,33030.438,34571.31,33915.133,34139.77,37175.387,35517.473,30.0,701.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3130077,58968.047,25837.191,33177.668,4177.821,19422.664,10431.559,8236.0,7400.351,8943.502,13299.334,11010.695,7408.07,7863.2246,11747.013,7549.5044,7985.0186,8067.2314,8300.291,8192.643,8328.761,9158.41,8489.2705,15.0,81.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3130078,233877.97,109475.39,119143.1,18698.836,110379.03,38968.93,21478.73,16905.965,20442.154,60215.137,39877.008,22176.545,24018.03,46324.26,36294.168,30329.219,31153.406,31962.148,31745.75,33106.023,37176.832,34682.707,30.0,914.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3130079,109168.65,50674.586,57042.59,8670.952,52462.926,16916.975,10085.973,7895.6,8791.135,21644.414,17957.129,11101.324,12124.421,23684.104,17911.674,13921.951,14357.518,15084.254,14954.899,15485.605,17637.553,16327.207,26.0,309.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3130080,52587.81,24781.082,28064.404,9892.961,6541.844,9767.274,8801.829,7323.187,10307.975,11923.785,10138.334,6385.599,6695.6787,10359.085,6992.2837,7278.2056,7295.506,7317.0146,7294.3516,7303.14,7915.983,8197.11,91.0,52.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3130081,742643.3,330537.9,408426.66,83180.98,123734.984,124226.46,109626.12,113244.02,186380.55,192361.05,149961.69,84662.2,88401.805,127902.0,97447.01,104361.7,102432.016,105038.445,103058.016,103940.19,110717.734,111720.72,565.0,1851.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3130082,73850.27,34225.277,40441.754,7102.7783,8918.708,12415.332,10496.997,13940.377,21086.236,17567.783,13693.998,8497.03,8906.775,13438.956,10128.876,9853.174,9681.307,10125.998,9661.694,9766.493,10606.997,11710.135,22.0,215.0,2025,2,1.2246467991473532e-16,-1.0
커피-음료,3130083,261478.58,124720.27,135475.33,38071.61,32342.025,47597.004,41119.004,41840.53,59711.594,62002.0,51748.26,32314.688,32832.21,48413.734,33161.51,35954.06,36455.215,36954.535,36663.277,36738.54,39306.227,39660.492,736.0,822.0,2025,2,1.2246467991473532e-16,-1.0
